Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
cat food,18100,80.66,5.15,0.95,"Images, Review, Video"
best cat food,9900,79.25,1.93,1.00,Review
blue buffalo cat food,8100,79.14,2.47,1.00,"Site Links, Review, Video"
purina cat food,6600,83.06,2.59,1.00,"Images, Site Links, Review"
wellness cat food,6600,75.58,2.49,1.00,"Review, Video"
royal canin cat food,6600,81.34,2.40,1.00,"Review, Video"
orijen cat food,5400,77.54,1.73,0.99,"Review, Video"
iams cat food,5400,82.35,1.63,1.00,"Images, Review"
grain free cat food,4400,77.77,4.77,1.00,"Review, Video"
homemade cat food,4400,68.89,1.78,0.32,"Review, Video"
science diet cat food,4400,86.29,1.52,1.00,"Review, Video"
best dry cat food,3600,81.21,2.46,1.00,Video
can cats eat dog food,3600,84.71,0.00,0.01,Video
can dogs eat cat food,3600,79.11,0.00,0.01,Video
cat food brands,2900,79.57,7.76,0.89,"Images, Video"
natural balance cat food,2900,76.71,5.63,1.00,"Review, Video"
cat food advisor,2900,55.46,3.27,0.72,
best wet cat food,2900,79.25,2.68,1.00,"Review, Video"
sheba cat food,2900,80.88,2.65,1.00,"Images, Review, Video"
friskies cat food,2900,84.63,2.30,1.00,"Images, Review"
purina one cat food,2900,83.79,1.87,1.00,"Images, Review"
evo cat food,2900,71.87,1.80,1.00,"Review, Video"
blue cat food,2900,80.41,1.43,1.00,Review
cat food coupons,2400,76.41,4.30,0.88,Review
merrick cat food,2400,76.22,2.57,1.00,Review
blue wilderness cat food,2400,81.06,2.15,1.00,"Review, Video"
taste of the wild cat food,2400,78.28,1.82,0.99,"Review, Video"
fromm cat food,2400,73.68,1.48,1.00,"Site Links, Review, Video"
rachael ray cat food,2400,80.68,1.23,1.00,"Review, Video"
halo cat food,1900,77.48,3.99,1.00,"Review, Video"
best canned cat food,1900,78.98,3.93,1.00,"Review, Video"
raw cat food,1900,67.02,3.67,1.00,"Review, Video"
fancy feast cat food,1900,83.06,3.39,1.00,"Images, Review, Video"
nutro cat food,1900,79.78,2.84,1.00,"Review, Video"
weruva cat food,1900,71.95,2.03,1.00,"Review, Video"
simply nourish cat food,1900,0.00,0.68,0.87,
raccoon steals cat food,1900,83.81,0.00,0.01,Video
raccoon stealing cat food,1900,84.55,0.00,0.01,"Images, Review, Video, Featured Video"
cat food ratings,1600,69.37,7.78,0.85,Review
cat food reviews,1600,70.52,4.97,0.71,"Review, Video"
purina pro plan cat food,1600,85.19,3.06,1.00,Review
best cat food brands,1600,77.97,2.99,1.00,"Review, Video"
wellness core cat food,1600,80.62,2.94,1.00,"Review, Video"
purina beyond cat food,1600,83.39,2.54,1.00,"Review, Video"
9 lives cat food,1600,79.28,1.24,1.00,"Images, Review"
soulistic cat food,1600,73.25,0.74,1.00,"Review, Video"
hypoallergenic cat food,1300,79.93,6.28,1.00,"Review, Video"
dry cat food,1300,80.86,5.39,1.00,"Images, Review, Video"
canned cat food,1300,83.73,4.99,1.00,"Images, Review, Video"
wet cat food,1300,82.99,4.68,1.00,"Images, Review, Video"
healthy cat food,1300,78.36,3.56,0.94,"Review, Video"
diabetic cat food,1300,73.05,3.42,1.00,"Review, Featured Snippet"
cat throwing up food,1300,76.70,3.03,0.23,Video
solid gold cat food,1300,73.83,2.88,1.00,"Knowledge Graph, Review, Video"
canidae cat food,1300,76.67,2.68,1.00,"Review, Video"
hills cat food,1300,82.16,2.66,1.00,"Site Links, Review, Video"
beyond cat food,1300,83.96,2.45,1.00,Review
vegan cat food,1300,75.14,2.30,0.94,"Review, Video"
how much food should i feed my cat,1300,75.78,2.08,0.17,"Video, Featured Snippet"
is cat food bad for dogs,1300,80.35,2.04,0.02,Review
instinct cat food,1300,76.02,1.85,1.00,"Review, Video"
walmart cat food,1300,85.70,1.69,0.94,"Review, Video"
acana cat food,1300,70.53,1.57,1.00,"Review, Video"
goodlife cat food,1300,82.47,1.37,1.00,"Review, Video"
cat food dispenser,1300,75.00,0.85,1.00,"Images, Review, Video"
natural cat food,1000,71.82,6.78,1.00,"Images, Video, Featured Snippet"
organic cat food,1000,66.44,5.30,1.00,"Images, Review, Video"
pro plan cat food,1000,86.38,4.21,1.00,Review
healthiest cat food,1000,74.52,3.79,0.78,"Review, Video, Featured Snippet"
purina cat food coupons,1000,78.74,3.54,1.00,"Review, Video"
eukanuba cat food,1000,73.45,2.92,0.98,"Review, Video"
friskies canned cat food,1000,80.63,2.63,1.00,Review
best food for cats,1000,81.33,2.00,1.00,"Review, Video"
bff cat food,1000,67.99,1.96,1.00,"Review, Video"
iams cat food coupons,1000,80.80,1.73,0.86,"Review, Video"
tiki cat food,1000,68.45,1.70,1.00,"Review, Video"
authority cat food,1000,75.79,1.23,0.99,"Review, Video"
costco cat food,1000,77.32,0.72,0.72,Review
cat food recipes,880,75.92,6.35,0.73,"Review, Video"
homemade cat food recipes,880,71.95,4.64,0.59,"Review, Video"
how much wet food to feed a cat,880,79.46,4.05,0.15,"Review, Video, Featured Snippet"
limited ingredient cat food,880,72.47,3.91,1.00,Review
high fiber cat food,880,75.57,3.46,1.00,"Review, Featured Snippet"
best wet food for cats,880,81.16,2.90,1.00,Video
purina indoor cat food,880,79.37,2.89,0.98,"Images, Review, Video"
best grain free cat food,880,74.65,2.75,1.00,"Review, Video"
young again cat food,880,57.21,2.69,0.41,
urinary so cat food,880,77.41,2.67,1.00,Review
best cat foods,880,79.93,2.46,1.00,Review
what is the best cat food,880,79.35,2.16,1.00,"Review, Video"
innova cat food,880,71.12,1.79,0.94,Review
earthborn cat food,880,73.17,1.59,1.00,"Review, Video"
4health cat food,880,79.34,0.56,0.57,Review
cat food recall,880,76.51,0.49,0.39,
high protein cat food,720,73.92,7.60,1.00,"Review, Featured Snippet"
prescription cat food,720,72.67,4.54,1.00,Review
senior cat food,720,82.34,4.41,1.00,"Review, Video"
soft cat food,720,79.60,3.80,1.00,"Images, Review, Video"
sensitive stomach cat food,720,81.64,3.75,1.00,Review
petco cat food,720,89.51,3.63,0.68,Review
avoderm cat food,720,73.22,2.96,1.00,"Review, Video"
urinary tract cat food,720,78.33,2.83,1.00,Review
royal canin so cat food,720,74.38,2.69,1.00,Review
cat food hairball control,720,80.98,2.55,0.31,Review
blue buffalo cat food reviews,720,78.02,2.30,0.45,"Review, Video"
human grade cat food,720,69.28,2.14,1.00,"Review, Video"
high calorie cat food,720,75.54,2.12,1.00,Review
whiskas cat food,720,82.67,2.11,1.00,"Images, Review, Video"
what human food can cats eat,720,73.32,1.91,0.05,"Video, Featured Snippet"
evolve cat food,720,69.98,1.55,1.00,"Review, Video"
primal cat food,720,74.30,1.22,0.96,"Site Links, Review, Video"
pure vita cat food,720,61.86,1.21,1.00,"Review, Video"
cat food bowls,720,82.90,1.16,1.00,Images
petsmart cat food,720,92.28,0.80,0.59,"Site Links, Review, Video"
kirkland cat food,720,72.23,0.36,0.79,"Review, Video"
human food for cats,590,82.00,9.11,0.08,"Video, Featured Snippet"
cat food allergies,590,79.17,8.65,0.98,"Images, Review, Video, Featured Snippet"
grain free cat food brands,590,73.93,8.06,1.00,"Review, Video"
cat food for sensitive stomachs,590,79.45,5.21,1.00,Review
good cat food,590,74.25,5.13,0.96,Review
low protein cat food,590,71.19,4.80,1.00,"Review, Featured Snippet"
soft dry cat food,590,80.49,4.60,1.00,"Review, Video, Featured Snippet"
what human foods can cats eat,590,79.87,3.87,0.07,"Video, Featured Snippet"
low carb cat food,590,65.85,3.58,1.00,"Review, Video, Featured Snippet"
free cat food,590,75.01,3.41,0.89,Review
purina dm cat food,590,75.47,3.18,1.00,Review
how to make cat food,590,74.64,2.96,0.51,"Review, Video"
organix cat food,590,70.49,2.81,1.00,Review
friskies cat food coupons,590,77.16,2.42,0.89,
cd cat food,590,76.07,2.42,0.99,"Review, Video"
best cat food for kittens,590,79.44,2.25,1.00,Video
low phosphorus cat food,590,66.91,1.99,1.00,Review
best cat food for indoor cats,590,79.69,1.83,1.00,"Review, Video"
chicken soup for the soul cat food,590,73.49,1.65,1.00,"Review, Video"
nutrish cat food,590,79.65,1.65,0.99,"Review, Video"
meow mix cat food,590,85.42,1.60,1.00,"Images, Review, Video"
rachel ray cat food,590,80.66,1.42,0.95,"Review, Video"
automatic cat food dispenser,590,72.35,0.71,1.00,"Review, Video"
cat food allergy,480,76.99,7.64,0.62,"Images, Review, Video, Featured Snippet"
healthiest wet cat food,480,76.63,7.59,0.86,"Review, Video, Featured Snippet"
raw cat food recipe,480,64.54,6.94,0.47,"Review, Video"
natural balance cat food reviews,480,74.62,5.48,0.58,"Review, Video"
diet cat food,480,78.88,4.65,1.00,Review
grain free wet cat food,480,72.53,4.64,1.00,Review
holistic cat food,480,66.19,4.27,1.00,"Images, Review, Video"
purina naturals cat food,480,80.05,3.96,0.98,"Images, Review, Video"
cheap cat food,480,80.67,3.70,1.00,Video
royal canin urinary so cat food,480,73.46,3.38,1.00,"Review, Video"
wellness canned cat food,480,80.10,3.33,1.00,"Review, Video"
wellness cat food coupons,480,70.31,3.27,0.82,"Review, Video"
free cat food samples,480,63.42,3.19,0.86,"Review, Video"
natural choice cat food,480,79.52,3.19,1.00,"Images, Review, Video"
best dry food for cats,480,78.75,3.11,1.00,"Review, Video"
raw food diet for cats,480,70.43,2.77,1.00,"Review, Video"
kd cat food,480,79.23,2.67,0.97,"Review, Video"
hills cd cat food,480,83.76,2.65,1.00,"Review, Video"
urinary cat food,480,73.73,2.62,1.00,"Images, Review"
frisky cat food,480,80.19,2.61,1.00,"Images, Review, Video"
prescription diet cat food,480,76.02,2.56,1.00,Review
wellness cat food reviews,480,72.90,2.55,0.62,"Review, Video"
how much food to feed a cat,480,74.53,2.51,0.29,"Video, Featured Snippet"
friskies wet cat food,480,80.29,2.48,1.00,"Images, Review"
how much canned food to feed a cat,480,86.78,2.47,0.22,"Video, Featured Snippet"
blue buffalo cat food recall,480,78.36,2.35,0.31,Review
california natural cat food,480,67.28,2.08,0.92,Review
foods cats can t eat,480,83.10,1.90,0.03,"Video, Featured Snippet"
lotus cat food,480,71.98,1.80,0.98,"Knowledge Graph, Review, Video"
sheba cat food coupons,480,71.51,1.70,0.79,Video
ideal balance cat food,480,82.62,1.48,1.00,"Review, Video"
target cat food,480,91.28,1.46,0.93,"Site Links, Video"
nutrisource cat food,480,66.79,1.45,1.00,"Images, Review, Video"
special kitty cat food,480,71.37,1.40,1.00,"Images, Review, Video"
science diet cat food coupons,480,80.28,1.21,0.88,"Review, Video"
home made cat food,480,70.75,1.09,0.32,"Review, Video"
cat food walmart,480,86.44,0.98,1.00,"Review, Video"
diamond cat food,480,77.67,0.91,1.00,"Review, Video"
purina one cat food coupon,480,80.14,0.89,0.87,"Review, Video"
chewy cat food,480,78.12,0.61,0.57,"Review, Video"
purina cat food recall,480,78.16,0.55,0.49,Review
make your own cat food,480,72.40,0.00,0.10,Video
can ferrets eat cat food,480,70.20,0.00,0.01,"Video, Featured Snippet"
human foods cats can eat,390,83.32,9.68,0.02,"Video, Featured Snippet"
healthiest dry cat food,390,74.76,7.50,1.00,"Review, Video, Featured Snippet"
cat foods,390,82.88,7.00,1.00,"Images, Review, Featured Snippet"
high quality cat food,390,75.86,6.76,0.87,Review
canned cat food reviews,390,74.60,6.56,0.78,"Review, Video"
dry cat food reviews,390,74.05,5.45,1.00,"Review, Video"
grain free canned cat food,390,75.46,5.39,1.00,"Review, Video"
grain free dry cat food,390,73.11,5.37,1.00,"Review, Video"
indoor cat food,390,75.67,5.07,1.00,"Images, Review"
moist cat food,390,78.07,4.92,1.00,"Review, Video"
cat food for sensitive stomach,390,79.26,4.92,1.00,Review
gluten free cat food,390,76.59,4.14,1.00,"Review, Video"
freeze dried cat food,390,64.74,3.89,1.00,"Review, Video"
raw cat food diet,390,68.98,3.48,0.98,"Review, Video, Featured Snippet"
how to make homemade cat food,390,70.56,3.38,0.52,"Review, Video"
semi moist cat food,390,71.00,3.11,1.00,Review
urinary health cat food,390,74.03,2.99,1.00,"Review, Video"
fancy feast dry cat food,390,77.89,2.95,1.00,"Images, Review, Video"
by nature cat food,390,76.96,2.94,1.00,"Site Links, Review, Video"
earthborn holistic cat food,390,73.63,2.78,1.00,"Review, Video"
raw food for cats,390,71.99,2.74,1.00,"Review, Video, Featured Snippet"
honest kitchen cat food,390,71.13,2.65,0.91,"Review, Video"
nutro natural choice cat food,390,80.68,2.58,0.98,"Review, Video"
sheba cat food reviews,390,0.00,2.50,0.50,
is dog food bad for cats,390,84.79,2.44,0.01,"Review, Video"
science diet cat food reviews,390,75.30,2.39,0.51,"Review, Video"
friskies dry cat food,390,81.59,2.37,1.00,"Images, Review, Video"
best cat food for older cats,390,82.91,2.14,1.00,Review
blue buffalo cat food coupon,390,75.29,2.03,0.82,"Review, Video"
wilderness cat food,390,81.78,1.97,1.00,"Images, Review, Video"
blue mountain cat food,390,83.63,1.89,1.00,"Review, Video"
blue buffalo wilderness cat food,390,83.06,1.81,1.00,"Images, Review, Video"
iams grain free cat food,390,0.00,1.72,1.00,
weruva cat food review,390,69.75,1.66,0.95,"Review, Video"
cat vomiting food,390,76.23,1.62,0.37,"Review, Video"
