Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"whiskas","1","1","1600","56.03","1.19","http://www.whiskas.com/","24.32","19.54","0.77","5920000","1.00,0.84,0.84,1.00,1.00,0.84,0.84,0.84,0.84,0.84,0.84,0.84","1469459026"
"whiskas cat food","1","1","720","82.67","2.11","http://www.whiskas.com/","10.93","15.61","1.00","502000","0.72,0.59,0.59,0.72,0.88,0.88,1.00,0.72,0.88,0.59,0.88,0.72","1469573110"
"whiskas","2","0","1600","56.03","1.19","http://www.whiskas.com/Products","6.72","5.40","0.77","5920000","1.00,0.84,0.84,1.00,1.00,0.84,0.84,0.84,0.84,0.84,0.84,0.84","1469459026"
"whiskas cat food","2","2","720","82.67","2.11","http://www.whiskas.com/Products","3.00","4.30","1.00","502000","0.72,0.59,0.59,0.72,0.88,0.88,1.00,0.72,0.88,0.59,0.88,0.72","1469573110"
"whiskers cat food","1","1","170","73.12","1.20","http://www.whiskas.com/","2.55","2.07","1.00","545000","0.65,0.65,0.65,0.54,0.54,0.54,1.00,0.81,0.65,0.65,0.81,0.81","1467595883"
"wiskas","1","1","140","67.38","3.16","http://www.whiskas.com/","2.10","4.52","0.28","474000","0.82,1.00,0.82,1.00,1.00,0.82,0.65,0.82,1.00,0.82,0.82,1.00","1467731564"
"whiskas cat food","3","3","720","82.67","2.11","http://www.whiskas.com/Products/Product/indoor","2.06","2.97","1.00","502000","0.72,0.59,0.59,0.72,0.88,0.88,1.00,0.72,0.88,0.59,0.88,0.72","1469573110"
"whiskas coupons","1","1","110","59.26","0.71","http://www.whiskas.com/","1.64","0.78","0.42","222000","1.00,0.79,1.00,0.64,1.00,0.79,0.79,0.79,0.64,0.64,0.79,1.00","1468003170"
"whiskas cat food coupons","1","1","90","58.11","1.94","http://www.whiskas.com/","1.35","1.79","0.44","36000","0.82,0.45,0.64,0.64,0.82,0.82,1.00,0.82,0.82,0.82,1.00,0.64","1467993386"
"whiskas dry cat food","1","1","90","76.26","1.29","http://www.whiskas.com/","1.35","1.18","1.00","210000","1.00,0.79,0.50,0.79,0.64,1.00,0.64,1.00,0.50,0.50,0.64,0.64","1468567087"
"can cats sense pregnancy","7","5","880","81.15","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","1.13","0.00","0.01","4200000","0.25,0.37,0.77,0.77,0.55,0.45,0.55,0.77,0.45,0.55,0.77,1.00","1469567031"
"whiska","1","1","70","79.15","4.51","http://www.whiskas.com/","1.03","3.23","0.38","792000","0.71,1.00,0.71,1.00,1.00,1.00,0.71,1.00,0.71,0.57,0.71,0.71","1469002823"
"whiskas meaty selections","1","1","70","81.75","1.39","http://www.whiskas.com/Products/Product/meaty-selections","1.03","0.98","0.99","27000","0.45,0.45,0.45,0.45,0.64,0.45,1.00,0.82,0.64,0.82,1.00,1.00","1469518256"
"whiskas wet cat food","1","1","70","78.78","1.67","http://www.whiskas.com/","1.03","1.18","0.99","145000","0.56,0.44,0.44,0.78,0.78,0.78,0.56,0.78,0.78,0.78,1.00,1.00","1469516432"
"whiskas pouches","1","1","70","74.15","1.54","http://www.whiskas.com/Products/Product/chicken-gravy","1.03","1.09","1.00","254000","0.21,0.14,0.36,0.21,0.50,0.29,0.21,0.36,0.50,0.64,0.79,1.00","1469516951"
"cat life cycle","4","3","390","76.85","0.01","http://www.whiskas.com/CatsCorner/Article/Life-Stages-of-a-Cat","0.87","0.00","0.04","2770000","0.81,1.00,1.00,0.54,0.44,0.54,0.81,0.81,0.81,0.54,0.81,0.67","1469309712"
"whiskas logo","1","1","50","64.23","0.00","http://www.whiskas.com/","0.74","0.00","0.00","3190000","1.00,0.71,1.00,0.71,0.57,0.71,0.43,0.71,0.57,0.43,0.57,0.57","1469727726"
"whiskas cat","1","1","50","67.59","1.63","http://www.whiskas.com/","0.74","0.83","0.42","405000","0.33,0.44,0.44,0.44,0.56,0.33,0.33,0.56,0.78,1.00,0.78,0.56","1469669883"
"whiskas kitten food","1","1","40","67.99","4.01","http://www.whiskas.com/Products/Product/kitten","0.58","1.64","1.00","96000","0.43,0.43,0.71,0.71,1.00,0.57,0.57,0.43,0.71,0.57,0.14,0.29","1469760805"
"whiskas.com","1","1","20","67.30","0.68","http://www.whiskas.com/","0.51","0.21","0.77","5860000","0.67,0.33,0.33,0.33,0.33,0.33,0.67,0.33,0.67,0.67,1.00,0.67","1470644221"
"life cycle of a cat","5","2","320","78.10","0.07","http://www.whiskas.com/CatsCorner/Article/Life-Stages-of-a-Cat","0.51","0.02","0.07","2620000","0.66,1.00,1.00,0.24,0.08,0.12,0.66,0.66,0.66,0.44,0.54,0.54","1468552252"
"cat age stages","3","3","170","64.13","0.00","http://www.whiskas.com/CatsCorner/Article/Life-Stages-of-a-Cat","0.48","0.00","0.12","27300000","0.23,0.44,0.36,0.54,1.00,0.44,0.18,0.18,0.23,0.54,0.67,0.28","1467619041"
"cat life stages","3","4","170","64.48","0.00","http://www.whiskas.com/CatsCorner/Article/Life-Stages-of-a-Cat","0.48","0.00","0.05","5410000","0.67,0.52,0.67,0.81,1.00,1.00,1.00,0.67,0.67,0.81,0.81,0.52","1467547281"
"whiska cat food","1","1","30","70.95","3.52","http://www.whiskas.com/","0.45","1.07","1.00","4000","0.50,0.50,0.75,0.50,0.50,0.75,0.75,1.00,0.25,0.75,1.00,0.50","1469908818"
